date,open,high,low,close,volume,change_pct
2025-11-24,7.39,7.58,7.31,7.49,34571671.0,
2025-11-25,7.52,7.53,7.44,7.45,30779127.0,-0.5340453938584733
2025-11-26,7.46,7.47,7.35,7.36,25803301.0,-1.2080536912751683
2025-11-27,7.35,7.42,7.3,7.33,17749800.0,-0.40760869565217295
2025-11-28,7.34,7.45,7.32,7.43,20485709.0,1.3642564802182733
2025-12-01,7.43,7.47,7.41,7.46,16351241.0,0.40376850605652326
2025-12-02,7.46,7.46,7.4,7.42,12304449.0,-0.536193029490617
2025-12-03,7.42,7.44,7.33,7.37,18025800.0,-0.6738544474393482
2025-12-04,7.37,7.39,7.23,7.25,19810712.0,-1.6282225237449155
2025-12-05,7.28,7.37,7.21,7.37,17736804.0,1.6551724137931156
2025-12-08,7.35,7.4,7.34,7.36,18232581.0,-0.13568521031207537
2025-12-09,7.33,7.35,7.24,7.25,19060200.0,-1.4945652173913082
2025-12-10,7.23,7.28,7.19,7.27,16794400.0,0.27586206896550447
2025-12-11,7.28,7.28,7.1,7.1,23872886.0,-2.3383768913342484
2025-12-12,7.1,7.16,7.08,7.12,11748124.0,0.28169014084507005
2025-12-15,7.09,7.15,7.07,7.1,10352187.0,-0.2808988764045006
2025-12-16,7.15,7.24,7.03,7.13,22911700.0,0.42253521126760507
2025-12-17,7.06,7.15,7.05,7.13,15147866.0,0.0
2025-12-18,7.11,7.17,7.09,7.15,13777494.0,0.28050490883591017
2025-12-19,7.17,7.24,7.14,7.22,14854919.0,0.9790209790209614
2025-12-22,7.27,7.41,7.19,7.28,23299011.0,0.8310249307479367
2025-12-23,7.27,7.27,7.16,7.18,15377500.0,-1.3736263736263798
2025-12-24,7.17,7.23,7.16,7.21,9807429.0,0.41782729805013297
2025-12-25,7.23,7.23,7.17,7.19,11556007.0,-0.2773925104022079
2025-12-26,7.18,7.22,7.17,7.2,15275418.0,0.13908205841446364
2025-12-29,7.19,7.23,7.16,7.2,14349912.0,0.0
2025-12-30,7.2,7.23,7.17,7.18,11504000.0,-0.2777777777777879
2025-12-31,7.22,7.23,7.15,7.18,12326290.0,0.0
2026-01-05,7.17,7.21,7.15,7.2,16313293.0,0.278551532033422
2026-01-06,7.2,7.31,7.2,7.31,24446045.0,1.5277777777777724
2026-01-07,7.3,7.31,7.22,7.22,20202000.0,-1.2311901504787892
2026-01-08,7.22,7.26,7.19,7.24,16834700.0,0.27700831024930483
2026-01-09,7.24,7.29,7.21,7.26,22003200.0,0.2762430939226457
2026-01-12,7.25,7.39,7.23,7.38,35470646.0,1.6528925619834656
2026-01-13,7.38,7.63,7.3,7.45,58418513.0,0.9485094850948617
2026-01-14,7.36,7.5,7.32,7.37,41826484.0,-1.0738255033557076
2026-01-15,7.37,7.47,7.34,7.44,25482592.0,0.9497964721845387
2026-01-16,7.46,7.47,7.3,7.34,26644774.0,-1.3440860215053863
2026-01-19,7.35,7.41,7.34,7.37,20355201.0,0.4087193460490468
2026-01-20,7.36,7.39,7.28,7.31,18123624.0,-0.8141112618724633
2026-01-21,7.28,7.34,7.25,7.28,17340706.0,-0.41039671682625567
2026-01-22,7.3,7.37,7.29,7.35,18481785.0,0.9615384615384581
2026-01-23,7.24,7.26,7.09,7.24,51101019.0,-1.4965986394557707
2026-01-26,7.23,7.25,7.09,7.12,32691134.0,-1.6574585635359185
2026-01-27,7.1,7.13,6.97,7.03,27985121.0,-1.2640449438202195
2026-01-28,7.03,7.03,6.91,6.95,21147002.0,-1.1379800853485111
2026-01-29,6.92,7.0,6.86,6.99,23271633.0,0.575539568345329
2026-01-30,6.97,7.0,6.88,6.93,18691355.0,-0.8583690987124526
2026-02-02,6.91,6.93,6.81,6.82,15737684.0,-1.5873015873015817
2026-02-03,6.86,6.88,6.82,6.87,10864704.0,0.7331378299120228
2026-02-04,6.86,6.97,6.83,6.96,14028875.0,1.3100436681222627
2026-02-05,6.93,6.96,6.9,6.92,13089568.0,-0.5747126436781658
2026-02-06,6.93,6.96,6.9,6.91,12817900.0,-0.14450867052022698
2026-02-09,6.94,6.96,6.92,6.95,11084765.0,0.5788712011577379
2026-02-10,6.95,6.95,6.92,6.92,9783102.0,-0.4316546762589968
2026-02-11,6.93,6.95,6.9,6.91,9420237.0,-0.14450867052022698
2026-02-12,6.92,6.94,6.84,6.85,12457800.0,-0.868306801736618
2026-02-13,6.85,6.94,6.83,6.87,16531800.0,0.29197080291971655
2026-02-24,6.9,6.96,6.9,6.95,13495320.0,1.1644832605531397
2026-02-25,6.95,7.0,6.94,6.96,16315984.0,0.14388489208632116
2026-02-26,6.97,6.98,6.9,6.91,13535801.0,-0.7183908045977017
2026-02-27,6.9,6.96,6.88,6.94,10914541.0,0.4341534008683201
