date,open,high,low,close,volume,change_pct
2025-11-24,10.55,10.93,10.35,10.75,2991700.0,
2025-11-25,10.74,11.02,10.72,10.82,2743879.0,0.6511627906976791
2025-11-26,10.8,10.95,10.64,10.68,2546200.0,-1.2939001848428888
2025-11-27,10.7,11.21,10.66,11.21,2695100.0,4.962546816479407
2025-11-28,11.57,11.77,11.41,11.77,10132150.0,4.995539696699369
2025-12-01,11.93,12.36,11.78,12.36,9274500.0,5.012744265080715
2025-12-02,12.43,12.59,11.86,11.99,6591050.0,-2.99352750809061
2025-12-03,11.94,12.28,11.56,11.66,5494522.0,-2.752293577981657
2025-12-04,11.73,11.84,11.36,11.42,3283700.0,-2.0583190394511175
2025-12-05,11.38,11.6,11.18,11.6,2766800.0,1.5761821366024442
2025-12-08,11.72,11.82,11.3,11.35,3580853.0,-2.155172413793105
2025-12-09,11.35,11.53,11.29,11.37,2075600.0,0.17621145374449032
2025-12-10,11.36,11.94,11.2,11.94,6374152.0,5.013192612137196
2025-12-11,11.34,11.54,11.34,11.34,5919900.0,-5.025125628140703
2025-12-12,11.17,11.36,10.82,10.91,4519001.0,-3.791887125220461
2025-12-15,10.8,11.05,10.68,10.82,2154872.0,-0.8249312557286892
2025-12-16,10.82,10.92,10.3,10.43,2776989.0,-3.604436229205177
2025-12-17,10.36,10.43,9.91,10.2,4755107.0,-2.205177372962608
2025-12-18,10.2,10.65,10.18,10.43,2329050.0,2.254901960784328
2025-12-19,10.4,10.62,10.34,10.57,1406000.0,1.342281879194629
2025-12-22,10.58,10.74,10.51,10.59,1577800.0,0.18921475875117721
2025-12-23,10.59,10.85,10.12,10.28,2869100.0,-2.9272898961284266
2025-12-24,10.32,10.76,10.16,10.58,2263300.0,2.9182879377432025
2025-12-25,10.58,10.92,10.58,10.92,2684137.0,3.2136105860113506
2025-12-26,10.91,10.99,10.73,10.89,2141215.0,-0.27472527472527375
2025-12-29,10.9,11.2,10.71,10.88,2759000.0,-0.09182736455463081
2025-12-30,10.84,11.41,10.73,11.27,4099742.0,3.5845588235293935
2025-12-31,11.3,11.35,11.07,11.08,1805600.0,-1.685891748003543
2026-01-05,11.08,11.08,10.73,10.93,3785573.0,-1.3537906137184197
2026-01-06,10.93,11.15,10.9,10.97,2596673.0,0.36596523330283404
2026-01-07,10.97,11.0,10.58,10.65,2558500.0,-2.917046490428443
2026-01-08,10.6,10.73,10.38,10.41,3670573.0,-2.2535211267605604
2026-01-09,10.43,10.67,10.43,10.58,2382493.0,1.6330451488952846
2026-01-12,10.55,10.68,10.46,10.61,3178900.0,0.2835538752362865
2026-01-13,10.62,11.14,10.52,11.14,5481800.0,4.995287464656006
2026-01-14,11.14,11.58,11.01,11.4,5860738.0,2.333931777378817
2026-01-15,11.3,11.64,10.89,10.9,4213700.0,-4.385964912280704
2026-01-16,11.0,11.45,10.96,11.14,6157821.0,2.2018348623853212
2026-01-19,10.87,11.11,10.58,10.91,5660214.0,-2.064631956912033
2026-01-20,10.84,11.46,10.81,11.45,6423763.0,4.949587534372135
2026-01-21,11.47,11.85,11.35,11.42,4956400.0,-0.26200873362445254
2026-01-22,11.57,11.99,11.52,11.99,4318600.0,4.991243432574444
2026-01-23,12.28,12.59,12.02,12.59,6437030.0,5.004170141784825
2026-01-26,13.0,13.2,12.35,12.72,6955800.0,1.0325655281969937
2026-01-27,12.82,12.91,12.08,12.26,6587400.0,-3.6163522012578664
2026-01-28,12.4,12.4,11.65,11.65,6610000.0,-4.975530179445342
2026-01-29,11.8,12.21,11.55,12.02,5603200.0,3.1759656652360357
2026-01-30,12.0,12.62,11.68,12.62,5525257.0,4.991680532445919
2026-02-02,11.99,11.99,11.99,11.99,295200.0,-4.992076069730578
2026-02-03,11.39,11.39,11.39,11.39,250300.0,-5.0041701417848135
2026-02-04,10.82,10.82,10.82,10.82,331200.0,-5.004389815627741
2026-02-05,10.28,10.28,10.28,10.28,393000.0,-4.990757855822558
2026-02-06,9.77,9.77,9.77,9.77,262600.0,-4.961089494163417
2026-02-09,9.28,9.28,9.28,9.28,368100.0,-5.015353121801436
2026-02-10,8.82,8.82,8.82,8.82,919800.0,-4.956896551724133
2026-02-11,8.38,8.38,8.38,8.38,501900.0,-4.9886621315192725
2026-02-12,7.96,7.96,7.96,7.96,496600.0,-5.011933174224348
2026-02-13,7.56,8.36,7.56,8.36,28485939.0,5.025125628140703
2026-02-24,7.94,7.94,7.94,7.94,2124300.0,-5.023923444976064
2026-02-25,7.54,7.74,7.54,7.54,20118400.0,-5.037783375314864
2026-02-26,7.3,7.49,7.16,7.16,12141130.0,-5.03978779840849
2026-02-27,6.83,7.13,6.8,6.9,14281273.0,-3.6312849162011163
