date,open,high,low,close,volume,change_pct
2025-11-03,3.82,4.09,3.81,4.05,54041744.0,
2025-11-04,4.03,4.03,3.87,3.89,29692400.0,-3.950617283950608
2025-11-05,3.88,3.98,3.82,3.94,22143839.0,1.285347043701801
2025-11-06,3.95,3.96,3.82,3.87,24063520.0,-1.7766497461928932
2025-11-07,3.86,3.9,3.83,3.87,18586810.0,0.0
2025-11-10,3.86,3.96,3.85,3.94,32394100.0,1.8087855297157507
2025-11-11,3.93,3.99,3.89,3.95,23284450.0,0.2538071065989911
2025-11-12,3.95,3.97,3.86,3.88,19562100.0,-1.7721518987341867
2025-11-13,3.9,3.92,3.84,3.88,22874400.0,0.0
2025-11-14,3.85,3.92,3.84,3.88,23184467.0,0.0
2025-11-17,3.9,4.08,3.9,4.06,58061900.0,4.639175257731942
2025-11-18,4.06,4.06,3.76,3.81,59600300.0,-6.157635467980283
2025-11-19,3.79,3.8,3.63,3.65,27405100.0,-4.199475065616798
2025-11-20,3.66,3.95,3.66,3.92,58801000.0,7.397260273972606
2025-11-21,3.82,3.88,3.6,3.62,37548421.0,-7.653061224489788
2025-11-24,3.66,3.85,3.62,3.8,36353601.0,4.972375690607733
2025-11-25,3.8,3.88,3.74,3.85,28872922.0,1.3157894736842257
2025-11-26,3.85,3.9,3.8,3.86,22026200.0,0.2597402597402487
2025-11-27,3.85,4.01,3.84,3.93,45255400.0,1.81347150259068
2025-11-28,3.9,3.97,3.79,3.97,36267600.0,1.0178117048346147
2025-12-01,3.87,4.03,3.84,3.93,33700300.0,-1.0075566750629705
2025-12-02,3.93,4.0,3.87,3.94,20198300.0,0.2544529262086481
2025-12-03,3.95,3.98,3.76,3.78,38266300.0,-4.060913705583758
2025-12-04,3.76,3.78,3.68,3.74,20545900.0,-1.058201058201047
2025-12-05,3.72,3.75,3.68,3.73,15038100.0,-0.2673796791443861
2025-12-08,3.73,3.74,3.68,3.71,19990000.0,-0.536193029490617
2025-12-09,3.7,3.71,3.65,3.67,15068300.0,-1.0781671159029615
2025-12-10,3.65,3.68,3.62,3.67,9966800.0,0.0
2025-12-11,3.67,3.67,3.6,3.6,9914500.0,-1.9073569482288777
2025-12-12,3.58,3.6,3.52,3.57,8308761.0,-0.8333333333333415
2025-12-15,3.54,3.58,3.49,3.53,10293404.0,-1.1204481792717047
2025-12-16,3.54,3.54,3.41,3.42,15125301.0,-3.116147308781869
2025-12-17,3.41,3.44,3.33,3.39,20312321.0,-0.877192982456132
2025-12-18,3.38,3.62,3.37,3.46,23763600.0,2.0648967551622377
2025-12-19,3.48,3.68,3.45,3.67,38695101.0,6.069364161849711
2025-12-22,3.69,3.72,3.61,3.63,17821801.0,-1.0899182561307952
2025-12-23,3.65,3.67,3.59,3.62,14375304.0,-0.2754820936639035
2025-12-24,3.6,3.64,3.59,3.6,12075001.0,-0.5524861878453025
2025-12-25,3.63,3.64,3.55,3.63,15946300.0,0.8333333333333304
2025-12-26,3.63,3.64,3.55,3.56,14388300.0,-1.9283746556473802
2025-12-29,3.55,3.63,3.52,3.58,13595200.0,0.561797752808979
2025-12-30,3.55,3.59,3.5,3.51,13829900.0,-1.9553072625698387
2025-12-31,3.52,3.54,3.4,3.53,11953300.0,0.5698005698005604
2026-01-05,3.55,3.58,3.48,3.49,14434600.0,-1.1331444759206666
2026-01-06,3.47,3.55,3.46,3.54,18217861.0,1.4326647564469885
2026-01-07,3.54,3.55,3.48,3.5,17343100.0,-1.1299435028248594
2026-01-08,3.48,3.67,3.48,3.57,34100000.0,2.0000000000000018
2026-01-09,3.56,3.84,3.55,3.8,54104200.0,6.442577030812324
2026-01-12,3.86,3.92,3.8,3.83,42602600.0,0.7894736842105399
2026-01-13,3.84,3.85,3.67,3.67,28678401.0,-4.177545691906004
2026-01-14,3.69,3.75,3.66,3.73,23189300.0,1.6348773841961872
2026-01-15,3.71,3.71,3.58,3.6,21456100.0,-3.4852546916890104
2026-01-16,3.62,3.63,3.54,3.56,16941100.0,-1.1111111111111072
2026-01-19,3.55,3.6,3.52,3.6,13666901.0,1.1235955056179803
