date,open,high,low,close,volume,change_pct
2025-11-24,10.2,10.23,9.77,9.91,37548608.0,
2025-11-25,10.02,10.14,9.9,10.08,33248173.0,1.7154389505549927
2025-11-26,10.04,10.09,9.87,9.89,31596663.0,-1.8849206349206282
2025-11-27,9.89,10.35,9.88,10.12,43499483.0,2.325581395348819
2025-11-28,10.12,10.17,10.01,10.12,24339379.0,0.0
2025-12-01,10.17,10.63,10.17,10.24,46922200.0,1.1857707509881577
2025-12-02,10.21,10.21,10.0,10.11,25392985.0,-1.269531250000011
2025-12-03,10.1,10.16,9.99,10.05,22832781.0,-0.593471810089008
2025-12-04,10.04,10.09,9.92,10.0,16265880.0,-0.4975124378109541
2025-12-05,9.99,10.3,9.9,10.25,31591451.0,2.499999999999991
2025-12-08,10.25,10.46,10.15,10.39,30768741.0,1.3658536585365866
2025-12-09,10.33,10.39,10.21,10.26,22553750.0,-1.2512030798845108
2025-12-10,10.24,10.4,10.12,10.29,22065390.0,0.29239766081869956
2025-12-11,10.3,10.34,10.21,10.22,17926684.0,-0.6802721088435271
2025-12-12,10.16,10.35,10.13,10.29,31074662.0,0.6849315068492956
2025-12-15,10.34,10.49,10.01,10.04,38012774.0,-2.4295432458697808
2025-12-16,10.04,10.06,9.67,9.8,34453022.0,-2.390438247011939
2025-12-17,9.83,9.97,9.74,9.94,24400758.0,1.4285714285714235
2025-12-18,9.86,9.96,9.77,9.79,19156548.0,-1.5090543259557387
2025-12-19,9.84,9.99,9.8,9.94,18421048.0,1.532175689479054
2025-12-22,9.95,10.15,9.94,10.03,20400917.0,0.9054325955734299
2025-12-23,10.02,10.18,9.95,10.03,22761784.0,0.0
2025-12-24,10.03,10.21,10.01,10.14,26463364.0,1.0967098703888567
2025-12-25,10.07,10.17,10.02,10.12,17632176.0,-0.19723865877713243
2025-12-26,10.2,10.28,10.14,10.16,28746842.0,0.39525691699606735
2025-12-29,10.17,10.21,9.94,9.97,24647267.0,-1.870078740157477
2025-12-30,9.92,10.05,9.81,9.95,22164716.0,-0.20060180541626726
2025-12-31,9.98,10.02,9.82,9.85,17752488.0,-1.005025125628134
2026-01-05,9.85,10.13,9.85,10.08,30608748.0,2.3350253807106647
2026-01-06,10.11,10.22,10.11,10.17,30181285.0,0.8928571428571397
2026-01-07,10.21,10.27,10.06,10.11,31354205.0,-0.5899705014749346
2026-01-08,10.03,10.25,9.97,10.17,37517830.0,0.5934718100890191
2026-01-09,10.18,10.25,10.08,10.25,39156206.0,0.7866273352999054
2026-01-12,10.29,10.29,10.08,10.26,48998578.0,0.09756097560975618
2026-01-13,10.26,10.34,10.02,10.06,45059158.0,-1.9493177387914118
2026-01-14,10.08,10.32,10.0,10.08,55242727.0,0.1988071570576455
2026-01-15,10.02,10.22,10.02,10.1,38731379.0,0.1984126984126977
2026-01-16,10.12,10.26,10.09,10.18,39911871.0,0.7920792079207928
2026-01-19,10.14,10.24,10.04,10.15,29812237.0,-0.29469548133594925
2026-01-20,10.19,10.29,9.92,10.0,44526780.0,-1.4778325123152691
2026-01-21,9.93,10.2,9.9,10.18,42162123.0,1.8000000000000016
2026-01-22,10.2,10.28,10.09,10.15,27462127.0,-0.29469548133594925
2026-01-23,10.15,10.43,10.15,10.41,58275041.0,2.5615763546797954
2026-01-26,10.45,10.52,10.19,10.25,39908311.0,-1.5369836695485084
2026-01-27,10.23,10.24,9.73,9.92,71471731.0,-3.219512195121954
2026-01-28,9.93,10.36,9.77,10.12,57194326.0,2.0161290322580516
2026-01-29,10.15,10.33,9.99,10.04,49044499.0,-0.7905138339920903
2026-01-30,9.95,10.0,9.52,9.61,62292946.0,-4.2828685258964105
2026-02-02,9.52,9.6,9.28,9.28,35352924.0,-3.433922996878258
2026-02-03,9.38,9.45,9.3,9.45,18559588.0,1.8318965517241326
2026-02-04,9.45,9.55,9.36,9.52,21767197.0,0.7407407407407529
2026-02-05,9.47,9.47,9.32,9.38,20534583.0,-1.4705882352941013
2026-02-06,9.32,9.62,9.24,9.45,24694643.0,0.746268656716409
2026-02-09,9.54,9.8,9.42,9.66,32317521.0,2.2222222222222365
2026-02-10,9.65,9.71,9.56,9.57,16546176.0,-0.9316770186335366
2026-02-11,9.57,9.63,9.53,9.54,13680471.0,-0.31347962382446415
2026-02-12,9.56,9.57,9.45,9.5,12794644.0,-0.41928721174003813
2026-02-13,9.46,9.53,9.32,9.33,19446768.0,-1.7894736842105297
2026-02-24,9.47,9.6,9.41,9.54,19332757.0,2.2508038585209
2026-02-25,9.56,9.75,9.54,9.59,38861807.0,0.524109014675056
2026-02-26,9.64,9.69,9.47,9.5,27114236.0,-0.9384775808133461
2026-02-27,9.45,9.59,9.42,9.55,20227879.0,0.5263157894736858
